date,cases,deaths,country
12/31/2019,0,0,Afghanistan
1/1/2020,0,0,Afghanistan
1/2/2020,0,0,Afghanistan
1/3/2020,0,0,Afghanistan
1/4/2020,0,0,Afghanistan
1/5/2020,0,0,Afghanistan
1/6/2020,0,0,Afghanistan
1/7/2020,0,0,Afghanistan
1/8/2020,0,0,Afghanistan
1/9/2020,0,0,Afghanistan
1/10/2020,0,0,Afghanistan
1/11/2020,0,0,Afghanistan
1/12/2020,0,0,Afghanistan
1/13/2020,0,0,Afghanistan
1/14/2020,0,0,Afghanistan
1/15/2020,0,0,Afghanistan
1/16/2020,0,0,Afghanistan
1/17/2020,0,0,Afghanistan
1/18/2020,0,0,Afghanistan
1/19/2020,0,0,Afghanistan
1/20/2020,0,0,Afghanistan
1/21/2020,0,0,Afghanistan
1/22/2020,0,0,Afghanistan
1/23/2020,0,0,Afghanistan
1/24/2020,0,0,Afghanistan
1/25/2020,0,0,Afghanistan
1/26/2020,0,0,Afghanistan
1/27/2020,0,0,Afghanistan
1/28/2020,0,0,Afghanistan
1/29/2020,0,0,Afghanistan
1/30/2020,0,0,Afghanistan
1/31/2020,0,0,Afghanistan
2/1/2020,0,0,Afghanistan
2/2/2020,0,0,Afghanistan
2/3/2020,0,0,Afghanistan
2/4/2020,0,0,Afghanistan
2/5/2020,0,0,Afghanistan
2/6/2020,0,0,Afghanistan
2/7/2020,0,0,Afghanistan
2/8/2020,0,0,Afghanistan
2/9/2020,0,0,Afghanistan
2/10/2020,0,0,Afghanistan
2/11/2020,0,0,Afghanistan
2/12/2020,0,0,Afghanistan
2/13/2020,0,0,Afghanistan
2/14/2020,0,0,Afghanistan
2/15/2020,0,0,Afghanistan
2/16/2020,0,0,Afghanistan
2/17/2020,0,0,Afghanistan
2/18/2020,0,0,Afghanistan
2/19/2020,0,0,Afghanistan
2/20/2020,0,0,Afghanistan
2/21/2020,0,0,Afghanistan
2/22/2020,0,0,Afghanistan
2/23/2020,0,0,Afghanistan
2/24/2020,0,0,Afghanistan
2/25/2020,1,0,Afghanistan
2/26/2020,0,0,Afghanistan
2/27/2020,0,0,Afghanistan
2/28/2020,0,0,Afghanistan
2/29/2020,0,0,Afghanistan
3/1/2020,0,0,Afghanistan
3/2/2020,0,0,Afghanistan
3/8/2020,3,0,Afghanistan
3/11/2020,3,0,Afghanistan
3/15/2020,3,0,Afghanistan
3/16/2020,6,0,Afghanistan
3/17/2020,5,0,Afghanistan
3/18/2020,1,0,Afghanistan
3/19/2020,0,0,Afghanistan
3/20/2020,0,0,Afghanistan
3/21/2020,2,0,Afghanistan
3/22/2020,0,0,Afghanistan
3/23/2020,10,0,Afghanistan
3/24/2020,6,1,Afghanistan
3/25/2020,2,0,Afghanistan
3/26/2020,33,0,Afghanistan
3/27/2020,0,0,Afghanistan
3/28/2020,16,1,Afghanistan
3/29/2020,15,1,Afghanistan
3/30/2020,8,1,Afghanistan
3/31/2020,27,0,Afghanistan
4/1/2020,25,0,Afghanistan
4/2/2020,26,0,Afghanistan
4/3/2020,43,0,Afghanistan
4/4/2020,0,0,Afghanistan
4/5/2020,35,1,Afghanistan
4/6/2020,29,2,Afghanistan
4/7/2020,38,0,Afghanistan
4/8/2020,30,4,Afghanistan
3/9/2020,2,0,Albania
3/10/2020,4,0,Albania
3/11/2020,4,0,Albania
3/12/2020,1,1,Albania
3/13/2020,12,0,Albania
3/14/2020,10,0,Albania
3/15/2020,5,0,Albania
3/16/2020,4,0,Albania
3/17/2020,9,0,Albania
3/18/2020,4,0,Albania
3/19/2020,4,1,Albania
3/20/2020,11,0,Albania
3/21/2020,0,0,Albania
3/22/2020,6,0,Albania
3/23/2020,13,0,Albania
3/24/2020,11,2,Albania
3/25/2020,23,1,Albania
3/26/2020,23,0,Albania
3/27/2020,28,1,Albania
3/28/2020,12,3,Albania
3/29/2020,11,1,Albania
3/30/2020,15,0,Albania
3/31/2020,11,2,Albania
4/1/2020,20,3,Albania
4/2/2020,16,0,Albania
4/3/2020,18,1,Albania
4/4/2020,27,1,Albania
4/5/2020,29,2,Albania
4/6/2020,28,2,Albania
4/7/2020,16,1,Albania
4/8/2020,6,0,Albania
12/31/2019,0,0,Algeria
1/1/2020,0,0,Algeria
1/2/2020,0,0,Algeria
1/3/2020,0,0,Algeria
1/4/2020,0,0,Algeria
1/5/2020,0,0,Algeria
1/6/2020,0,0,Algeria
1/7/2020,0,0,Algeria
1/8/2020,0,0,Algeria
1/9/2020,0,0,Algeria
1/10/2020,0,0,Algeria
1/11/2020,0,0,Algeria
1/12/2020,0,0,Algeria
1/13/2020,0,0,Algeria
1/14/2020,0,0,Algeria
1/15/2020,0,0,Algeria
1/16/2020,0,0,Algeria
1/17/2020,0,0,Algeria
1/18/2020,0,0,Algeria
1/19/2020,0,0,Algeria
1/20/2020,0,0,Algeria
1/21/2020,0,0,Algeria
1/22/2020,0,0,Algeria
1/23/2020,0,0,Algeria
1/24/2020,0,0,Algeria
1/25/2020,0,0,Algeria
1/26/2020,0,0,Algeria
1/27/2020,0,0,Algeria
1/28/2020,0,0,Algeria
1/29/2020,0,0,Algeria
1/30/2020,0,0,Algeria
1/31/2020,0,0,Algeria
2/1/2020,0,0,Algeria
2/2/2020,0,0,Algeria
2/3/2020,0,0,Algeria
2/4/2020,0,0,Algeria
2/5/2020,0,0,Algeria
2/6/2020,0,0,Algeria
2/7/2020,0,0,Algeria
2/8/2020,0,0,Algeria
2/9/2020,0,0,Algeria
2/10/2020,0,0,Algeria
2/11/2020,0,0,Algeria
2/12/2020,0,0,Algeria
2/13/2020,0,0,Algeria
2/14/2020,0,0,Algeria
2/15/2020,0,0,Algeria
2/16/2020,0,0,Algeria
2/17/2020,0,0,Algeria
2/18/2020,0,0,Algeria
2/19/2020,0,0,Algeria
2/20/2020,0,0,Algeria
2/21/2020,0,0,Algeria
2/22/2020,0,0,Algeria
2/23/2020,0,0,Algeria
2/24/2020,0,0,Algeria
2/25/2020,0,0,Algeria
2/26/2020,1,0,Algeria
2/27/2020,0,0,Algeria
2/28/2020,0,0,Algeria
2/29/2020,0,0,Algeria
3/1/2020,0,0,Algeria
3/2/2020,2,0,Algeria
3/4/2020,2,0,Algeria
3/5/2020,7,0,Algeria
3/6/2020,5,0,Algeria
3/9/2020,3,0,Algeria
3/12/2020,0,0,Algeria
3/13/2020,4,1,Algeria
3/14/2020,2,1,Algeria
3/15/2020,11,0,Algeria
3/16/2020,11,2,Algeria
3/17/2020,12,0,Algeria
3/18/2020,0,1,Algeria
3/19/2020,13,1,Algeria
3/20/2020,9,1,Algeria
3/21/2020,12,3,Algeria
3/22/2020,0,0,Algeria
3/23/2020,8,5,Algeria
3/24/2020,87,2,Algeria
3/25/2020,42,0,Algeria
3/26/2020,33,0,Algeria
3/27/2020,41,4,Algeria
3/28/2020,0,0,Algeria
3/29/2020,104,5,Algeria
3/30/2020,45,3,Algeria
3/31/2020,57,2,Algeria
4/1/2020,73,4,Algeria
4/2/2020,263,23,Algeria
4/3/2020,0,0,Algeria
4/4/2020,139,25,Algeria
4/5/2020,314,47,Algeria
4/6/2020,20,22,Algeria
4/7/2020,103,21,Algeria
4/8/2020,45,21,Algeria
3/3/2020,1,0,Andorra
3/14/2020,1,0,Andorra
3/16/2020,3,0,Andorra
3/17/2020,9,0,Andorra
3/18/2020,0,0,Andorra
3/19/2020,39,0,Andorra
3/20/2020,22,0,Andorra
3/21/2020,0,0,Andorra
3/22/2020,13,0,Andorra
3/23/2020,25,0,Andorra
3/24/2020,20,0,Andorra
3/25/2020,31,0,Andorra
3/26/2020,24,0,Andorra
3/27/2020,36,3,Andorra
3/28/2020,43,0,Andorra
3/29/2020,41,1,Andorra
3/30/2020,26,2,Andorra
3/31/2020,36,2,Andorra
4/1/2020,6,4,Andorra
4/2/2020,14,2,Andorra
4/3/2020,38,1,Andorra
4/4/2020,11,1,Andorra
4/5/2020,27,1,Andorra
4/6/2020,35,1,Andorra
4/7/2020,25,3,Andorra
4/8/2020,19,1,Andorra
3/22/2020,2,0,Angola
3/23/2020,0,0,Angola
3/24/2020,0,0,Angola
3/25/2020,0,0,Angola
3/26/2020,0,0,Angola
3/27/2020,1,0,Angola
3/28/2020,1,0,Angola
3/29/2020,0,0,Angola
3/30/2020,3,2,Angola
3/31/2020,0,0,Angola
4/1/2020,0,0,Angola
4/2/2020,1,0,Angola
4/3/2020,0,0,Angola
4/4/2020,0,0,Angola
4/5/2020,2,0,Angola
4/6/2020,4,0,Angola
4/7/2020,2,0,Angola
4/8/2020,1,0,Angola
3/27/2020,2,0,Anguilla
3/28/2020,0,0,Anguilla
3/29/2020,0,0,Anguilla
3/30/2020,0,0,Anguilla
3/31/2020,0,0,Anguilla
4/1/2020,0,0,Anguilla
4/2/2020,0,0,Anguilla
4/3/2020,1,0,Anguilla
4/4/2020,0,0,Anguilla
4/5/2020,0,0,Anguilla
4/6/2020,0,0,Anguilla
4/7/2020,0,0,Anguilla
4/8/2020,0,0,Anguilla
3/15/2020,1,0,Antigua_and_Barbuda
3/21/2020,0,0,Antigua_and_Barbuda
3/22/2020,0,0,Antigua_and_Barbuda
3/23/2020,0,0,Antigua_and_Barbuda
3/24/2020,0,0,Antigua_and_Barbuda
3/25/2020,2,0,Antigua_and_Barbuda
3/26/2020,0,0,Antigua_and_Barbuda
3/27/2020,4,0,Antigua_and_Barbuda
3/28/2020,0,0,Antigua_and_Barbuda
3/29/2020,0,0,Antigua_and_Barbuda
3/30/2020,0,0,Antigua_and_Barbuda
3/31/2020,0,0,Antigua_and_Barbuda
4/1/2020,0,0,Antigua_and_Barbuda
4/2/2020,0,0,Antigua_and_Barbuda
4/3/2020,2,0,Antigua_and_Barbuda
4/4/2020,6,0,Antigua_and_Barbuda
4/5/2020,0,0,Antigua_and_Barbuda
4/6/2020,0,0,Antigua_and_Barbuda
4/7/2020,0,0,Antigua_and_Barbuda
4/8/2020,0,0,Antigua_and_Barbuda
3/4/2020,1,0,Argentina
3/6/2020,1,0,Argentina
3/7/2020,6,0,Argentina
3/8/2020,1,1,Argentina
3/9/2020,3,0,Argentina
3/11/2020,7,0,Argentina
3/13/2020,12,0,Argentina
3/14/2020,3,1,Argentina
3/15/2020,11,0,Argentina
3/16/2020,11,0,Argentina
3/17/2020,9,0,Argentina
3/18/2020,14,0,Argentina
3/19/2020,18,0,Argentina
3/20/2020,31,1,Argentina
3/21/2020,30,0,Argentina
3/22/2020,67,1,Argentina
3/23/2020,41,0,Argentina
3/24/2020,35,0,Argentina
3/25/2020,86,2,Argentina
3/26/2020,115,2,Argentina
3/27/2020,87,4,Argentina
3/28/2020,101,5,Argentina
3/29/2020,55,2,Argentina
3/30/2020,75,1,Argentina
3/31/2020,146,4,Argentina
4/1/2020,0,0,Argentina
4/2/2020,167,7,Argentina
4/3/2020,0,3,Argentina
4/4/2020,132,3,Argentina
4/5/2020,186,6,Argentina
4/6/2020,103,3,Argentina
4/7/2020,74,7,Argentina
4/8/2020,87,7,Argentina
12/31/2019,0,0,Armenia
1/1/2020,0,0,Armenia
1/2/2020,0,0,Armenia
1/3/2020,0,0,Armenia
1/4/2020,0,0,Armenia
